,kepid,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
4986,6947668,0,14.0545718,133.0972,0.121,4.066,274.3,1.45,711.0,60.49,11.6,5783.0,4.539,0.88,291.50708,42.429878,15.802
4987,6364582,1,30.8609783,138.31416000000002,0.852,4.216,128.9,1.08,525.0,17.96,17.8,5627.0,4.552,0.833,292.00203999999997,41.786961,12.988
4988,6190535,0,3.652810043,134.79030319999998,0.086,1.5132,119.4,0.89,1015.0,250.33,6.0,5213.0,4.489,0.831,286.73605,41.590278999999995,15.602
4993,4824268,0,152.15144795,215.01590299999998,0.857,26.8612,151820.0,53.89,362.0,4.04,2163.4,6217.0,4.4719999999999995,0.989,288.28283999999996,39.992222,14.61
4994,6527016,0,0.542636318,131.95581,0.056,1.2536,74.6,1.39,2659.0,11844.28,17.3,5277.0,3.96,1.633,293.27213,41.95142,14.458
4995,6431670,0,29.911334059,153.59549099999998,0.559,7.26916,354380.0,47.83,471.0,11.68,1349.8,5303.0,4.632,0.704,287.88482999999997,41.879349,16.128
4997,9636559,0,10.636305846,139.783159,0.398,5.17212,216060.0,64.91,1110.0,358.62,1419.0,6781.0,4.221,1.345,285.33444,46.309878999999995,17.035
5002,3858988,0,25.9518795,148.92549,1.259,21.569,1312.3,35.1,645.0,41.0,63.7,5753.0,4.335,1.078,293.72311,38.96983,14.997
5003,3848966,0,29.7681831,155.5003,0.739,9.425,159.9,3.98,917.0,167.51,13.2,5640.0,3.679,2.916,291.06937,38.914909,14.564
5004,10798605,0,56.048096688,159.16780419999998,1.161,4.04427,53726.0,42.62,400.0,6.06,1003.7,5222.0,4.518,0.78,292.42444,48.159591999999996,14.967
5005,5895083,0,2.25161215,131.54653000000002,0.647,2.1,23.9,1.14,2934.0,17529.42,9.2,9464.0,4.1160000000000005,2.184,296.88562,41.19978,13.085
5006,9452897,0,36.7662364,157.14332,0.164,3.305,579.5,1.28,336.0,3.02,12.6,4342.0,4.699,0.54,285.84387000000004,46.015910999999996,15.902999999999999
5007,9714123,0,50.35545898,136.91137980000002,0.159,5.51863,107140.0,31.66,492.0,13.81,1219.4,5936.0,4.501,0.965,293.44366,46.471512,15.724
5008,6118370,1,14.0328775,138.0603,0.044,6.684,210.9,1.45,783.0,88.83,11.8,6063.0,4.47,1.001,290.1499,41.4646,15.652000000000001
5009,2717158,0,13.2226149,144.295,0.943,4.337,261.7,1.75,740.0,71.11,12.6,5931.0,4.545,0.863,292.33035,37.997059,15.208
5011,6198256,0,3.54828691,131.83563,0.036,3.281,70.9,1.69,1795.0,2458.09,9.9,6573.0,4.01,1.987,289.71146,41.529713,13.79
5012,9664276,0,62.596544,185.9931,0.246,11.477,223.1,2.25,559.0,23.01,15.5,5934.0,4.173,1.509,297.37912,46.367069,14.450999999999999
5013,2437112,0,18.79852,138.02082,0.936,4.795,487.4,2.04,509.0,15.82,11.2,4808.0,4.5889999999999995,0.715,290.20361,37.774342,16.153
5015,7374746,0,1.366946478,132.20458200000002,0.869,3.37701,158640.0,43.45,1403.0,910.99,796.5,5353.0,4.527,0.757,295.25287000000003,42.900028000000006,15.002
5017,6519865,0,0.5668136770000001,131.78895,0.449,2.458,61.2,0.77,2269.0,6276.41,11.5,6106.0,4.487,0.966,291.01138,41.906979,15.644
5018,8868907,0,157.32263943,222.900363,0.888,21.9232,153930.0,56.66,351.0,3.61,1386.8,6109.0,4.4719999999999995,0.989,284.51367,45.1203,15.290999999999999
5020,10091110,0,4.2185126539999995,133.506768,0.767,3.6293900000000003,23417.0,16.67,1189.0,472.03,699.9,6185.0,4.4719999999999995,0.991,297.46631,47.023232,15.232000000000001
5022,3542574,0,3.47140045,133.750744,,1.55,,,,493.28,,,,,290.85931,38.636593,19.033
5023,3544694,0,1.922862476,132.735702,1.001,3.4594,101270.0,70.65,1827.0,2631.95,362.1,6408.0,4.246,1.303,291.44626,38.639778,15.925
5025,9085563,1,54.6493679,176.0447,0.018,7.962,432.5,2.64,538.0,19.86,15.1,5751.0,4.234,1.282,290.59039,45.439709,15.335
5027,7748487,0,15.5764061,135.9482,0.565,5.382,257.1,1.79,793.0,93.42,14.1,6214.0,4.442,1.076,290.23602,43.47065,15.491
5028,3219037,0,10.00506974,136.83029,0.148,3.481,143.3,1.11,849.0,122.48,11.4,5912.0,4.453,0.924,286.54041,38.3326,14.634
5029,5952448,0,0.9056756990000001,132.20066,0.008,1.701,73.2,0.77,1780.0,2374.98,10.2,5730.0,4.518,0.903,289.297,41.285488,15.384
5030,5710069,0,36.2580749,146.8338,0.786,5.917,380.3,1.82,516.0,16.7,12.5,5818.0,4.553999999999999,0.848,293.2244,40.931931,15.552999999999999
5031,9967009,0,12.4326997,142.1049,0.212,7.81,240.3,1.88,839.0,117.17,11.5,5480.0,4.22,1.229,297.70197,46.823318,15.915999999999999
5033,11874338,0,15.9750417,135.71533,1.211,3.549,643.5,90.37,1143.0,403.2,37.5,5220.0,3.52,3.456,296.672,50.150108,13.933
5034,9763612,1,16.0505464,141.73408,0.135,3.171,94.4,0.81,630.0,37.12,14.6,5428.0,4.563,0.853,288.56152000000003,46.536049,13.136
5035,6199716,0,0.805267592,132.09128,0.082,0.887,146.6,1.35,2165.0,5216.79,9.8,6268.0,4.428999999999999,1.1,290.13007000000005,41.5998,15.880999999999998
5036,9468384,0,11.082622625,746.1967676,0.207,6.625839999999999,268720.0,48.38,793.0,93.67,1725.6,5831.0,4.503,0.922,293.25281,46.051628,16.410999999999998
5038,10092312,0,1.096587245,132.51421000000002,2.623,3.0287,541.2,168.68,1726.0,2096.5,67.1,5869.0,4.513,0.942,297.78775,47.098331,13.954
5039,3964545,0,3.012476415,132.2466206,0.708,3.31903,198400.0,58.77,1388.0,879.89,2060.3,6015.0,4.329,1.088,294.14001,39.08987,14.776
5040,9656397,0,204.74104758,202.87131399999998,0.596,20.5357,333800.0,97.39,404.0,6.3,2000.2,6517.0,4.211,1.44,294.70926000000003,46.38472,13.841
5041,5444491,0,0.759740194,131.82001,0.497,3.252,42.5,0.67,2059.0,4245.86,13.7,6046.0,4.478,1.007,290.55255,40.688759000000005,14.92
5043,8244173,0,1.0920663990000001,132.1028432,0.488,2.97608,401890.0,40.74,1164.0,432.44,1160.6,4556.0,4.67,0.576,295.5061,44.110538,15.895999999999999
5044,6546508,0,3.0535786430000003,133.878843,1.11,3.22884,52880.0,35.35,1035.0,271.46,661.4,5414.0,4.625,0.714,298.13141,41.950989,15.74
5045,9886224,0,2.992662857,131.893219,0.001,2.5258,113700.0,60.35,1476.0,1123.54,296.8,4927.0,3.883,1.837,289.8569,46.789928,16.328
5047,5730380,0,0.954873008,131.85198300000002,0.578,1.0613,33.0,0.81,2325.0,6913.47,1.5,6092.0,4.114,1.363,298.05832000000004,40.943069,11.8
5048,6058875,0,0.56493412,131.7871403,0.691,2.5762099999999997,252640.0,33.4,1458.0,1071.88,1361.5,4748.0,4.729,0.534,296.37036,41.390469,15.839
5049,10735564,0,1.6749848440000001,131.793034,0.731,4.92134,234580.0,150.48,3055.0,20561.29,858.8,8285.0,3.971,2.451,293.57437000000004,48.007439,14.567
5050,6200810,0,35.8754482,147.5086,0.026,3.972,366.7,2.35,668.0,47.15,12.6,6559.0,4.357,1.218,290.44928,41.535789,15.353
5051,3561464,1,7.31945294,137.22065,0.112,4.881,166.8,5.05,1682.0,1891.07,16.3,5745.0,3.4989999999999997,3.955,295.49811,38.644501,13.489
5053,5962509,0,0.790049989,132.11148,0.185,2.794,70.8,0.67,1724.0,2082.67,12.3,5427.0,4.53,0.808,292.53809,41.206612,15.53
5056,7121885,0,33.93754213,147.182401,1.979,11.1677,32990.0,138.25,618.0,34.42,1112.0,6220.0,4.414,1.066,293.03067000000004,42.635220000000004,15.190999999999999
5057,5213404,1,20.7057153,139.9803,0.922,9.678,115.9,3.22,967.0,206.73,13.5,5668.0,3.792,2.437,298.11887,40.37505,14.276
5058,4844470,0,60.532988,134.57461,0.618,7.086,467.5,1.91,420.0,7.36,23.8,5631.0,4.5569999999999995,0.847,294.25037000000003,39.943939,14.196
5059,6205566,0,3.7228679,134.635,0.8,9.557,52.1,0.74,1182.0,461.27,9.8,6046.0,4.5089999999999995,0.927,292.01721000000003,41.562809,15.202
5061,9995771,0,15.0617835,140.1111,0.114,6.31,196.6,1.61,794.0,94.08,12.1,5806.0,4.321000000000001,1.158,283.79782,46.931,15.386
5062,7287391,0,4.286103033,134.590777,0.544,2.6422,173360.0,25.8,686.0,52.42,397.1,4206.0,4.663,0.591,293.46356000000003,42.88406,15.295
5065,5456319,0,0.937923475,132.34501,0.515,3.164,40.4,0.52,1588.0,1503.05,12.0,5398.0,4.58,0.805,294.11649,40.681061,14.402999999999999
5067,7025540,0,2.148219541,132.76673,0.424,2.9409099999999997,457840.0,49.6,1009.0,244.99,619.8,4694.0,4.6,0.672,289.25281,42.562611,15.783
5068,7620844,0,58.621578824,178.56749580000002,0.896,8.52961,142950.0,40.43,385.0,5.19,1887.7,5232.0,4.553999999999999,0.725,295.61037999999996,43.260422,15.161
5069,6677267,0,3.125821128,134.47968400000002,1.269,2.2163,5025.4,110.58,2087.0,4481.76,245.2,6137.0,3.705,2.852,287.15167,42.110378000000004,12.77
5070,7732791,0,1.032068851,131.8383,1.014,2.1344,121990.0,44.35,1221.0,523.01,140.0,4387.0,4.587,0.711,282.55338,43.417358,16.177
5071,5736801,0,6.6751871,137.4528,0.251,2.372,178.3,1.09,890.0,148.28,7.0,5774.0,4.567,0.818,299.33994,40.925362,15.554
5072,8177798,0,1.450205839,131.985523,1.236,3.6373,25884.0,92.78,2675.0,12063.44,419.0,7564.0,4.093,1.893,295.81686,44.00568,13.91
